data;ID_motorista;mapa;caixas
2025-03-20;665;279427;168
2025-03-18;165;279314;67
2025-03-31;161;279936;82
2025-03-06;162;278755;40
2025-03-14;151;279113;40
2025-03-06;220;278751;50
2025-03-13;98;279071;37
2025-03-12;166;279026;38
2025-03-31;604;279943;28
2025-03-15;221;279174;24
2025-03-01;153;278551;30
2025-03-22;96;279581;31
2025-03-28;718;279848;30
2025-03-07;153;278798;36
2025-03-18;162;279289;38
2025-03-19;665;279363;31
2025-03-26;733;279733;23
2025-03-19;47;279337;23
2025-03-22;96;279581;22
2025-03-08;665;278855;58
2025-03-10;220;278916;29
2025-03-01;216;278571;17
2025-03-03;16;278598;21
2025-03-31;732;279914;23
2025-03-22;665;279567;86
2025-03-13;960;279093;18
2025-03-05;580;278677;62
2025-03-18;689;279269;60
2025-03-10;402;278905;15
2025-03-04;165;278623;20
2025-03-13;146;279076;58
2025-03-06;157;278757;18
2025-03-21;199;279499;19
2025-03-06;216;278771;24
2025-03-14;83;279143;19
2025-03-08;502;278860;30
2025-03-18;672;279310;13
2025-03-06;151;278741;29
2025-03-14;165;279111;22
2025-03-31;728;279909;22
2025-03-03;76;278589;45
2025-03-25;502;279708;21
2025-03-15;580;279169;19
2025-03-21;199;279508;12
2025-03-10;162;278918;16
2025-03-10;196;278913;13
2025-03-31;153;279913;18
2025-03-20;672;279455;17
2025-03-28;960;279839;10
2025-03-14;604;279138;11
2025-03-11;76;278979;18
2025-03-26;81;279755;9
2025-03-08;341;278875;15
2025-03-12;83;279036;17
2025-03-12;728;279005;28
2025-03-14;675;279147;9
2025-03-13;81;279087;18
2025-03-10;672;278928;10
2025-03-08;728;278866;17
2025-03-24;113;279641;11
2025-03-24;159;279637;14
2025-03-03;208;278582;17
2025-03-25;732;279672;9
2025-03-24;672;279640;14
2025-03-07;580;278832;9
2025-03-19;47;279337;8
2025-03-14;672;279144;7
2025-03-26;47;279719;16
2025-03-17;7;279218;12
2025-03-14;196;279112;13
2025-03-10;604;278924;16
2025-03-20;672;279455;13
2025-03-22;453;279571;29
2025-03-03;22;278600;10
2025-03-01;113;278567;11
2025-03-11;502;278969;11
2025-03-22;113;279586;7
2025-03-28;960;279839;9
2025-03-01;16;278563;12
2025-03-14;604;279138;7
2025-03-31;50;279917;7
2025-03-28;960;279839;8
2025-03-27;116;279774;7
2025-03-11;718;278938;16
2025-03-17;159;279246;27
2025-03-24;672;279640;7
2025-03-26;50;279721;12
2025-03-21;165;279501;11
2025-03-28;672;279868;12
2025-03-06;196;278740;6
2025-03-25;675;279702;11
2025-03-31;128;279918;25
2025-03-17;76;279213;31
2025-03-21;196;279504;9
2025-03-26;200;279734;9
2025-03-26;153;279720;9
2025-03-14;47;279114;19
2025-03-14;208;279106;13
2025-03-24;714;279628;10
2025-03-01;153;278551;12
2025-03-14;157;279136;9
2025-03-04;502;278644;10
2025-03-14;208;279106;8
2025-03-25;544;279691;82
2025-03-20;151;279425;8
2025-03-21;199;279508;8
2025-03-28;98;279859;8
2025-03-19;80;279369;10
2025-03-20;196;279424;9
2025-03-11;113;278972;7
2025-03-28;7;279846;7
2025-03-12;50;279006;8
2025-03-12;47;279008;4
2025-03-14;208;279106;10
2025-03-31;199;279919;9
2025-03-21;733;279527;12
2025-03-25;672;279706;6
2025-03-04;672;278651;7
2025-03-27;196;279783;7
2025-03-19;159;279376;6
2025-03-19;216;279375;5
2025-03-06;116;278731;7
2025-03-25;116;279671;8
2025-03-14;83;279143;7
2025-03-05;80;278714;7
2025-03-25;151;279680;5
2025-03-08;196;278850;4
2025-03-10;146;278921;6
2025-03-13;151;279061;7
2025-03-22;116;279565;7
2025-03-03;402;278601;11
2025-03-28;165;279838;4
2025-03-12;897;279007;13
2025-03-12;502;279038;12
2025-03-24;76;279609;14
2025-03-12;116;279004;8
2025-03-26;47;279719;11
2025-03-14;83;279143;4
2025-03-04;672;278651;7
2025-03-14;157;279136;5
2025-03-06;41;278735;11
2025-03-03;402;278601;5
2025-03-21;199;279499;4
2025-03-27;50;279778;5
2025-03-17;248;279248;6
2025-03-10;98;278907;7
2025-03-17;166;279235;6
2025-03-10;80;278925;5
2025-03-25;151;279680;6
2025-03-19;159;279376;3
2025-03-03;22;278600;5
2025-03-13;81;279087;14
2025-03-06;216;278771;6
2025-03-05;559;278709;7
2025-03-29;192;279895;4
2025-03-10;80;278925;6
2025-03-06;151;278741;19
2025-03-01;81;278569;5
2025-03-27;208;279770;4
2025-03-15;200;279190;3
2025-03-06;453;278752;6
2025-03-28;402;279843;3
2025-03-25;116;279671;4
2025-03-06;502;278758;5
2025-03-28;718;279848;5
2025-03-15;113;279188;6
2025-03-24;675;279638;4
2025-03-20;580;279409;5
2025-03-10;166;278917;4
2025-03-03;208;278582;5
2025-03-17;16;279225;4
2025-03-26;146;279749;4
2025-03-12;675;279037;4
2025-03-20;580;279409;5
2025-03-18;732;279266;5
2025-03-08;113;278862;4
2025-03-05;153;278673;5
2025-03-18;341;279313;3
2025-03-17;162;279238;3
2025-03-04;165;278623;5
2025-03-21;41;279509;4
2025-03-31;728;279909;3
2025-03-06;502;278758;3
2025-03-21;672;279538;4
2025-03-12;80;279044;5
2025-03-27;208;279770;4
2025-03-03;7;278599;5
2025-03-10;76;278896;18
2025-03-19;146;279349;2
2025-03-15;81;279185;5
2025-03-04;675;278650;4
2025-03-24;675;279638;3
2025-03-14;559;279145;3
2025-03-14;208;279106;3
2025-03-20;116;279413;5
2025-03-14;51;279105;4
2025-03-24;672;279640;4
2025-03-26;162;279742;3
2025-03-26;248;279735;3
2025-03-07;81;278831;4
2025-03-05;80;278712;4
2025-03-07;80;278823;2
2025-03-25;151;279680;4
2025-03-10;146;278921;8
2025-03-04;41;278627;3
2025-03-11;208;278939;3
2025-03-15;113;279188;3
2025-03-21;199;279499;4
2025-03-08;196;278850;3
2025-03-06;216;278771;3
2025-03-26;41;279727;2
2025-03-11;196;278941;3
2025-03-10;146;278921;5
2025-03-28;672;279868;3
2025-03-04;50;278620;3
2025-03-12;116;279004;3
2025-03-24;604;279625;2
2025-03-08;732;278849;4
2025-03-11;16;278980;15
2025-03-14;83;279143;2
2025-03-12;116;279004;3
2025-03-05;51;278674;3
2025-03-22;113;279586;2
2025-03-07;80;278823;10
2025-03-10;196;278913;3
2025-03-13;81;279087;2
2025-03-01;41;278558;2
2025-03-14;113;279142;3
2025-03-03;22;278600;3
2025-03-19;216;279375;3
2025-03-29;224;279897;4
2025-03-10;544;278920;3
2025-03-14;221;279131;2
2025-03-04;50;278620;2
2025-03-25;116;279671;2
2025-03-27;50;279778;3
2025-03-03;502;278605;3
2025-03-27;153;279773;2
2025-03-05;113;278705;2
2025-03-27;153;279773;2
2025-03-24;113;279641;3
2025-03-14;199;279107;3
2025-03-24;672;279640;2
2025-03-27;151;279784;9
